timestamp,type,proxid,floor,zone
2016-05-3100:05:00,fixed-prox,vawelon001,1,1
2016-05-3100:20:00,fixed-prox,earpa001,1,1
2016-05-3102:26:40,fixed-prox,earpa001,1,6
2016-05-3102:31:41,fixed-prox,vawelon001,1,6
2016-05-3103:12:00,fixed-prox,earpa001,1,1
2016-05-3103:28:00,fixed-prox,vawelon001,1,1
2016-05-3105:57:40,fixed-prox,earpa001,1,6
2016-05-3105:57:41,fixed-prox,vawelon001,1,6
2016-05-3106:47:00,fixed-prox,vawelon001,1,1
2016-05-3106:59:00,fixed-prox,earpa001,1,1
2016-05-3107:00:00,fixed-prox,ibarranco001,1,1
2016-05-3107:00:00,fixed-prox,jsanjorge001,1,1
2016-05-3107:00:50,fixed-prox,jsanjorge001,1,4
2016-05-3107:00:51,fixed-prox,ibarranco001,1,4
2016-05-3107:01:32,fixed-prox,ibarranco001,2,4
2016-05-3107:01:32,fixed-prox,jsanjorge001,2,4
2016-05-3107:02:03,fixed-prox,jsanjorge001,3,4
2016-05-3107:02:03,fixed-prox,ibarranco001,3,4
2016-05-3107:02:05,fixed-prox,jsanjorge001,3,1
2016-05-3107:02:05,fixed-prox,ibarranco001,3,1
2016-05-3107:02:28,fixed-prox,jsanjorge001,3,6
2016-05-3107:15:00,fixed-prox,knielson001,1,1
2016-05-3107:15:00,fixed-prox,btempestad001,1,1
2016-05-3107:15:00,fixed-prox,mbramar001,1,1
2016-05-3107:15:50,fixed-prox,knielson001,1,4
2016-05-3107:15:54,fixed-prox,btempestad001,1,4
2016-05-3107:15:56,fixed-prox,mbramar001,1,4
2016-05-3107:16:00,fixed-prox,ldedos001,1,1
2016-05-3107:16:00,fixed-prox,fbalas001,1,1
2016-05-3107:16:00,fixed-prox,ckinney001,1,1
2016-05-3107:16:00,fixed-prox,iborrasca001,1,1
2016-05-3107:16:00,fixed-prox,iovan001,1,1
2016-05-3107:16:32,fixed-prox,mbramar001,2,4
2016-05-3107:16:32,fixed-prox,knielson001,2,4
2016-05-3107:16:34,fixed-prox,knielson001,2,1
2016-05-3107:16:36,fixed-prox,btempestad001,2,4
2016-05-3107:16:38,fixed-prox,btempestad001,2,1
2016-05-3107:16:55,fixed-prox,btempestad001,2,2
2016-05-3107:17:03,fixed-prox,mbramar001,3,4
2016-05-3107:17:05,fixed-prox,mbramar001,3,1
2016-05-3107:17:24,fixed-prox,mbramar001,3,6
2016-05-3107:17:38,fixed-prox,iborrasca001,1,4
2016-05-3107:17:38,fixed-prox,iovan001,1,4
2016-05-3107:17:38,fixed-prox,fbalas001,1,4
2016-05-3107:17:38,fixed-prox,ckinney001,1,4
2016-05-3107:17:38,fixed-prox,ldedos001,1,4
2016-05-3107:18:00,fixed-prox,chawelon001,1,1
2016-05-3107:18:00,fixed-prox,lbennett001,1,1
2016-05-3107:18:19,fixed-prox,iborrasca001,2,4
2016-05-3107:18:19,fixed-prox,ldedos001,2,4
2016-05-3107:18:19,fixed-prox,fbalas001,2,4
2016-05-3107:18:19,fixed-prox,ckinney001,2,4
2016-05-3107:18:19,fixed-prox,iovan001,2,4
2016-05-3107:18:21,fixed-prox,fbalas001,2,1
2016-05-3107:18:21,fixed-prox,iovan001,2,1
2016-05-3107:18:21,fixed-prox,ckinney001,2,1
2016-05-3107:18:21,fixed-prox,ldedos001,2,1
2016-05-3107:18:21,fixed-prox,iborrasca001,2,1
2016-05-3107:18:36,fixed-prox,ckinney001,2,7
2016-05-3107:18:36,fixed-prox,iovan001,2,7
2016-05-3107:18:37,fixed-prox,ldedos001,2,2
2016-05-3107:18:43,fixed-prox,iborrasca001,2,6
2016-05-3107:19:00,fixed-prox,zcoronado001,1,1
2016-05-3107:20:00,fixed-prox,sflorez001,1,1
2016-05-3107:20:00,fixed-prox,yfinney001,1,1
2016-05-3107:20:06,fixed-prox,lbennett001,1,4
2016-05-3107:20:06,fixed-prox,zcoronado001,1,4
2016-05-3107:20:06,fixed-prox,chawelon001,1,4
2016-05-3107:20:47,fixed-prox,zcoronado001,2,4
2016-05-3107:20:47,fixed-prox,chawelon001,2,4
2016-05-3107:20:47,fixed-prox,lbennett001,2,4
2016-05-3107:20:49,fixed-prox,lbennett001,2,1
2016-05-3107:20:49,fixed-prox,chawelon001,2,1
2016-05-3107:20:49,fixed-prox,zcoronado001,2,1
2016-05-3107:21:00,fixed-prox,mcassano001,1,1
2016-05-3107:21:00,fixed-prox,cshipp001,1,1
2016-05-3107:21:00,fixed-prox,anubarron001,1,1
2016-05-3107:21:00,fixed-prox,avico001,1,1
2016-05-3107:21:00,fixed-prox,rfaralso001,1,1
2016-05-3107:21:03,fixed-prox,lbennett001,2,6
2016-05-3107:21:04,fixed-prox,zcoronado001,2,7
2016-05-3107:21:04,fixed-prox,chawelon001,2,7
2016-05-3107:21:35,fixed-prox,sflorez001,1,4
2016-05-3107:21:35,fixed-prox,yfinney001,1,4
2016-05-3107:22:16,fixed-prox,sflorez001,2,4
2016-05-3107:22:16,fixed-prox,yfinney001,2,4
2016-05-3107:22:18,fixed-prox,sflorez001,2,1
2016-05-3107:22:18,fixed-prox,yfinney001,2,1
2016-05-3107:22:33,fixed-prox,sflorez001,2,7
2016-05-3107:22:34,fixed-prox,yfinney001,2,2
2016-05-3107:22:37,fixed-prox,mcassano001,1,4
2016-05-3107:22:37,fixed-prox,anubarron001,1,4
2016-05-3107:22:37,fixed-prox,cshipp001,1,4
2016-05-3107:22:37,fixed-prox,rfaralso001,1,4
2016-05-3107:22:37,fixed-prox,avico001,1,4
2016-05-3107:23:00,fixed-prox,lazada001,1,1
2016-05-3107:23:00,fixed-prox,nbasham001,1,1
2016-05-3107:23:00,fixed-prox,sparrino001,1,1
2016-05-3107:23:18,fixed-prox,rfaralso001,2,4
2016-05-3107:23:18,fixed-prox,cshipp001,2,4
2016-05-3107:23:18,fixed-prox,avico001,2,4
2016-05-3107:23:18,fixed-prox,anubarron001,2,4
2016-05-3107:23:18,fixed-prox,mcassano001,2,4
2016-05-3107:23:20,fixed-prox,rfaralso001,2,1
2016-05-3107:23:20,fixed-prox,anubarron001,2,1
2016-05-3107:23:20,fixed-prox,avico001,2,1
2016-05-3107:23:20,fixed-prox,mcassano001,2,1
2016-05-3107:23:20,fixed-prox,cshipp001,2,1
2016-05-3107:23:34,fixed-prox,cshipp001,2,6
2016-05-3107:23:35,fixed-prox,rfaralso001,2,7
2016-05-3107:23:35,fixed-prox,mcassano001,2,7
2016-05-3107:23:37,fixed-prox,avico001,2,2
2016-05-3107:23:44,fixed-prox,anubarron001,2,2
2016-05-3107:24:00,fixed-prox,slowery001,1,1
2016-05-3107:24:00,fixed-prox,cstaley001,1,1
2016-05-3107:24:35,fixed-prox,lazada001,1,4
2016-05-3107:24:35,fixed-prox,nbasham001,1,4
2016-05-3107:24:35,fixed-prox,sparrino001,1,4
2016-05-3107:25:00,fixed-prox,korilla001,1,1
2016-05-3107:25:16,fixed-prox,lazada001,2,4
2016-05-3107:25:16,fixed-prox,nbasham001,2,4
2016-05-3107:25:16,fixed-prox,sparrino001,2,4
2016-05-3107:25:18,fixed-prox,lazada001,2,1
2016-05-3107:25:18,fixed-prox,nbasham001,2,1
2016-05-3107:25:18,fixed-prox,sparrino001,2,1
2016-05-3107:25:37,fixed-prox,nbasham001,2,7
2016-05-3107:25:41,fixed-prox,slowery001,1,4
2016-05-3107:26:00,fixed-prox,tbattles001,1,1
2016-05-3107:26:00,fixed-prox,ahafon001,1,1
2016-05-3107:26:00,fixed-prox,apinckney001,1,1
2016-05-3107:26:22,fixed-prox,slowery001,2,4
2016-05-3107:26:24,fixed-prox,slowery001,2,1
2016-05-3107:26:37,fixed-prox,korilla001,1,4
2016-05-3107:26:39,fixed-prox,slowery001,2,7
2016-05-3107:27:00,fixed-prox,monda001,1,1
2016-05-3107:27:00,fixed-prox,tcarrara001,1,1
2016-05-3107:27:18,fixed-prox,korilla001,2,4
2016-05-3107:27:20,fixed-prox,korilla001,2,1
2016-05-3107:27:39,fixed-prox,tbattles001,1,4
2016-05-3107:27:39,fixed-prox,apinckney001,1,4
2016-05-3107:27:39,fixed-prox,ahafon001,1,4
2016-05-3107:27:42,fixed-prox,korilla001,2,6
2016-05-3107:28:20,fixed-prox,apinckney001,2,4
2016-05-3107:28:20,fixed-prox,tbattles001,2,4
2016-05-3107:28:20,fixed-prox,ahafon001,2,4
2016-05-3107:28:22,fixed-prox,ahafon001,2,1
2016-05-3107:28:22,fixed-prox,apinckney001,2,1
2016-05-3107:28:22,fixed-prox,tbattles001,2,1
2016-05-3107:28:35,fixed-prox,tcarrara001,1,4
2016-05-3107:28:35,fixed-prox,monda001,1,4
2016-05-3107:28:40,fixed-prox,ahafon001,2,6
2016-05-3107:28:41,fixed-prox,apinckney001,2,7
2016-05-3107:28:42,fixed-prox,tbattles001,2,2
2016-05-3107:29:00,fixed-prox,csolos001,1,1
2016-05-3107:29:16,fixed-prox,tcarrara001,2,4
2016-05-3107:29:16,fixed-prox,monda001,2,4
2016-05-3107:29:18,fixed-prox,tcarrara001,2,1
2016-05-3107:29:18,fixed-prox,monda001,2,1
2016-05-3107:29:35,fixed-prox,monda001,2,2
2016-05-3107:29:35,fixed-prox,tcarrara001,2,2
2016-05-3107:30:00,fixed-prox,eedward001,1,1
2016-05-3107:30:00,fixed-prox,pratigan001,1,1
2016-05-3107:30:00,fixed-prox,rparade001,1,1
2016-05-3107:30:00,fixed-prox,wvasco001,1,1
2016-05-3107:30:00,fixed-prox,acampo001,1,1
2016-05-3107:30:00,fixed-prox,rpantanal001,1,1
2016-05-3107:30:00,fixed-prox,lcarrara001,1,1
2016-05-3107:30:00,fixed-prox,lorosco001,1,1
2016-05-3107:30:00,fixed-prox,cwhelan001,1,1
2016-05-3107:30:00,fixed-prox,jfrost001,1,1
2016-05-3107:30:00,fixed-prox,epavone001,1,1
2016-05-3107:30:00,fixed-prox,ostrum001,1,1
2016-05-3107:30:37,fixed-prox,csolos001,1,4
2016-05-3107:31:00,fixed-prox,dscozzese001,1,1
2016-05-3107:31:18,fixed-prox,csolos001,2,4
2016-05-3107:31:20,fixed-prox,csolos001,2,1
2016-05-3107:31:35,fixed-prox,cwhelan001,1,4
2016-05-3107:31:35,fixed-prox,ostrum001,1,4
2016-05-3107:31:35,fixed-prox,pratigan001,1,4
2016-05-3107:31:35,fixed-prox,lorosco001,1,4
2016-05-3107:31:35,fixed-prox,eedward001,1,4
2016-05-3107:31:35,fixed-prox,lcarrara001,1,4
2016-05-3107:31:35,fixed-prox,csolos001,2,7
2016-05-3107:31:35,fixed-prox,wvasco001,1,4
2016-05-3107:31:35,fixed-prox,rpantanal001,1,4
2016-05-3107:32:00,fixed-prox,sfusil001,1,1
2016-05-3107:32:00,fixed-prox,bmullen001,1,1
2016-05-3107:32:00,fixed-prox,fresumir001,1,1
2016-05-3107:32:06,fixed-prox,lorosco001,2,4
2016-05-3107:32:06,fixed-prox,eedward001,2,4
2016-05-3107:32:06,fixed-prox,cwhelan001,2,4
2016-05-3107:32:06,fixed-prox,ostrum001,2,4
2016-05-3107:32:06,fixed-prox,rpantanal001,2,4
2016-05-3107:32:06,fixed-prox,lcarrara001,2,4
2016-05-3107:32:06,fixed-prox,pratigan001,2,4
2016-05-3107:32:06,fixed-prox,wvasco001,2,4
2016-05-3107:32:08,fixed-prox,cwhelan001,2,1
2016-05-3107:32:20,fixed-prox,epavone001,1,4
2016-05-3107:32:20,fixed-prox,acampo001,1,4
2016-05-3107:32:23,fixed-prox,cwhelan001,2,7
2016-05-3107:32:37,fixed-prox,rpantanal001,3,4
2016-05-3107:32:37,fixed-prox,lcarrara001,3,4
2016-05-3107:32:37,fixed-prox,wvasco001,3,4
2016-05-3107:32:37,fixed-prox,eedward001,3,4
2016-05-3107:32:37,fixed-prox,lorosco001,3,4
2016-05-3107:32:37,fixed-prox,pratigan001,3,4
2016-05-3107:32:37,fixed-prox,ostrum001,3,4
2016-05-3107:32:39,fixed-prox,ostrum001,3,1
2016-05-3107:32:39,fixed-prox,lorosco001,3,1
2016-05-3107:32:39,fixed-prox,pratigan001,3,1
2016-05-3107:32:39,fixed-prox,rpantanal001,3,1
2016-05-3107:32:39,fixed-prox,eedward001,3,1
2016-05-3107:32:39,fixed-prox,lcarrara001,3,1
2016-05-3107:32:39,fixed-prox,wvasco001,3,1
2016-05-3107:32:47,fixed-prox,wvasco001,3,2
2016-05-3107:32:48,fixed-prox,rpantanal001,3,2
2016-05-3107:32:56,fixed-prox,eedward001,3,3
2016-05-3107:32:56,fixed-prox,pratigan001,3,3
2016-05-3107:32:57,fixed-prox,fresumir001,1,2
2016-05-3107:33:00,fixed-prox,junger001,1,1
2016-05-3107:33:00,fixed-prox,vhatchett001,1,1
2016-05-3107:33:01,fixed-prox,epavone001,2,4
2016-05-3107:33:01,fixed-prox,acampo001,2,4
2016-05-3107:33:02,fixed-prox,lcarrara001,3,6
2016-05-3107:33:02,fixed-prox,ostrum001,3,6
2016-05-3107:33:10,fixed-prox,ostrum001,3,3
2016-05-3107:33:10,fixed-prox,lcarrara001,3,3
2016-05-3107:33:32,fixed-prox,epavone001,3,4
2016-05-3107:33:32,fixed-prox,acampo001,3,4
2016-05-3107:33:34,fixed-prox,acampo001,3,1
2016-05-3107:33:34,fixed-prox,epavone001,3,1
2016-05-3107:33:41,fixed-prox,bmullen001,1,4
2016-05-3107:33:46,fixed-prox,epavone001,3,2
2016-05-3107:33:50,fixed-prox,junger001,1,4
2016-05-3107:34:00,fixed-prox,jsimonides001,1,1
2016-05-3107:34:00,fixed-prox,wreynoso001,1,1
2016-05-3107:34:00,fixed-prox,vlagos001,1,1
2016-05-3107:34:22,fixed-prox,junger001,2,4
2016-05-3107:34:22,fixed-prox,bmullen001,2,4
2016-05-3107:34:24,fixed-prox,junger001,2,1
2016-05-3107:34:24,fixed-prox,bmullen001,2,1
2016-05-3107:34:39,fixed-prox,junger001,2,7
2016-05-3107:34:39,fixed-prox,vhatchett001,1,4
2016-05-3107:34:46,fixed-prox,bmullen001,2,6
2016-05-3107:35:00,fixed-prox,bridenour001,1,1
2016-05-3107:35:00,fixed-prox,gcazar001,1,1
2016-05-3107:35:20,fixed-prox,vhatchett001,2,4
2016-05-3107:35:22,fixed-prox,vhatchett001,2,1
2016-05-3107:35:36,fixed-prox,jsimonides001,1,4
2016-05-3107:35:36,fixed-prox,vawelon001,1,4
2016-05-3107:35:36,fixed-prox,wreynoso001,1,4
2016-05-3107:36:17,fixed-prox,wreynoso001,2,4
2016-05-3107:36:17,fixed-prox,jsimonides001,2,4
